iter	Passed	Remaining
0	179	179279
1	181	90587
2	183	60962
3	185	46134
4	186	37189
5	188	31218
6	193	27490
7	195	24255
8	197	21710
9	198	19666
10	200	18011
11	201	16621
12	206	15679
13	210	14790
14	212	13959
15	215	13265
16	219	12699
17	222	12147
18	224	11594
19	234	11472
20	236	11026
21	238	10611
22	240	10225
23	246	10029
24	249	9722
25	254	9518
26	256	9247
27	261	9092
28	264	8844
29	265	8596
30	271	8483
31	273	8263
32	274	8052
33	276	7854
34	278	7665
35	279	7494
36	285	7432
37	287	7290
38	289	7135
39	291	6988
40	292	6850
41	294	6718
42	300	6688
43	302	6565
44	303	6447
45	305	6334
46	306	6224
47	317	6290
48	319	6196
49	321	6104
50	323	6012
51	333	6073
52	336	6008
53	337	5919
54	346	5957
55	348	5874
56	352	5829
57	353	5747
58	362	5780
59	364	5709
60	366	5634
61	367	5559
62	369	5490
63	379	5555
64	381	5484
65	382	5417
66	384	5351
67	394	5400
68	396	5345
69	397	5284
70	399	5225
71	408	5262
72	410	5212
73	412	5157
74	413	5102
75	415	5050
76	418	5015
77	419	4964
78	422	4925
79	424	4877
80	425	4828
81	431	4829
82	434	4799
83	436	4757
84	437	4714
85	439	4670
86	446	4687
87	448	4650
88	450	4612
89	452	4572
90	453	4533
91	456	4500
92	459	4481
93	461	4447
94	462	4409
95	464	4371
96	465	4333
97	472	4344
98	473	4311
99	475	4276
100	477	4251
101	479	4219
102	480	4187
103	482	4159
104	484	4129
105	485	4096
106	487	4064
107	488	4033
108	490	4007
109	494	4003
110	496	3979
111	498	3950
112	499	3922
113	501	3894
114	502	3866
115	504	3842
116	505	3813
117	510	3814
118	512	3792
119	513	3768
120	515	3743
121	516	3716
122	518	3695
123	519	3672
124	525	3680
125	527	3661
126	529	3637
127	531	3617
128	532	3596
129	534	3576
130	543	3603
131	544	3582
132	546	3561
133	547	3540
134	549	3520
135	558	3547
136	560	3529
137	562	3510
138	563	3491
139	565	3472
140	572	3485
141	573	3464
142	574	3444
143	576	3425
144	577	3407
145	579	3389
146	580	3371
147	583	3359
148	585	3341
149	586	3324
150	588	3308
151	590	3293
152	591	3276
153	599	3290
